,city,cloudiness,country,date,humidity,lat,lon,max temp,wind speed
74,Acari,92.0,BR,06-04-2019,92.0,-6.44,-36.64,72.02,5.3
75,Kushiro,40.0,JP,06-04-2019,52.0,43.11,144.15,42.8,9.17
76,Arraial do Cabo,12.0,BR,06-04-2019,90.0,-22.97,-42.02,80.39,4.74
77,Mujiayingzi,36.0,CN,06-04-2019,48.0,42.12,118.78,34.49,3.96
78,Rawson,0.0,AR,06-04-2019,35.0,-43.3,-65.11,71.03,9.66
79,Plettenberg Bay,0.0,ZA,06-04-2019,97.0,-34.05,23.37,62.48,11.23
80,Bluff,0.0,AU,06-04-2019,51.0,-23.58,149.07,79.04,10.33
81,Basco,1.0,US,06-04-2019,52.0,40.33,-91.2,69.8,11.41
82,Wilmington,1.0,US,06-04-2019,51.0,39.75,-75.55,64.4,3.36
83,Mahajanga,20.0,MG,06-04-2019,69.0,-15.72,46.32,82.4,4.7
84,Anchorage,90.0,US,06-04-2019,52.0,61.22,-149.89,48.99,8.05
85,Yellowknife,90.0,CA,06-04-2019,57.0,62.45,-114.38,21.2,14.99
86,Nanakuli,1.0,US,06-04-2019,58.0,21.39,-158.15,82.99,12.75
87,Saint Anthony,20.0,US,06-04-2019,46.0,43.97,-111.68,52.0,25.28
88,Adelaide,75.0,AU,06-04-2019,63.0,-34.93,138.6,69.01,19.46
89,Baracoa,92.0,CU,06-04-2019,96.0,20.35,-74.5,78.05,12.12
90,Mataura,0.0,NZ,06-04-2019,64.0,-46.19,168.86,57.0,1.01
91,Malanje,68.0,AO,06-04-2019,96.0,-9.54,16.35,66.8,2.17
92,Mar del Plata,0.0,AR,06-04-2019,35.0,-46.43,-67.52,61.94,11.79
93,Chokurdakh,68.0,RU,06-04-2019,100.0,70.62,147.9,18.02,6.08
94,Souillac,20.0,FR,06-04-2019,100.0,45.6,-0.6,45.0,3.36
95,Nizhnyaya Tavda,0.0,RU,06-04-2019,63.0,57.67,66.17,18.02,4.63
96,Pombas,80.0,BR,06-04-2019,82.0,-15.9,-54.74,72.02,7.54
97,Nikolskoye,0.0,RU,06-04-2019,87.0,59.7,30.79,36.0,4.47
98,Storsteinnes,76.0,NO,06-04-2019,80.0,69.24,19.23,30.2,12.75
99,Tautira,40.0,PF,06-04-2019,66.0,-17.73,-149.15,89.6,4.7
100,Rastolita,12.0,RO,06-04-2019,64.0,46.97,24.99,39.0,2.17
101,Georgetown,20.0,GY,06-04-2019,74.0,6.8,-58.16,80.6,11.41
102,Carnarvon,0.0,ZA,06-04-2019,76.0,-30.97,22.13,47.72,6.64
103,Yeniseysk,32.0,RU,06-04-2019,68.0,58.45,92.17,20.09,2.95
104,Yeppoon,0.0,AU,06-04-2019,61.0,-23.13,150.74,78.8,10.29
105,Ancud,90.0,CL,06-04-2019,100.0,-41.87,-73.83,55.4,11.41
106,Mana,0.0,RS,06-04-2019,70.0,43.52,20.24,48.2,4.7
107,Hami,80.0,CN,06-04-2019,54.0,42.84,93.51,52.58,1.72
108,Smirnykh,56.0,RU,06-04-2019,76.0,49.74,142.83,35.66,6.53
109,Umm Kaddadah,0.0,SD,06-04-2019,25.0,13.6,26.69,63.02,3.62
110,Amga,0.0,RU,06-04-2019,74.0,60.89,131.98,27.56,3.62
111,New Norfolk,75.0,AU,06-04-2019,51.0,-42.78,147.06,64.0,17.22
112,Saravan,90.0,AM,06-04-2019,93.0,39.72,45.65,46.4,2.24
113,Naze,20.0,NG,06-04-2019,92.0,5.43,7.07,75.08,3.18
