License #,DBA Name,Address,City,State
2565135.0,D ARCO'S PIZZA INC.,2819 W 63RD ST ,CHICAGO,IL
2657950.0,BORDEAUX LOUNGE BY TURQUOISE,2147 W ROSCOE ST ,CHICAGO,IL
2446242.0,A & C FAST FOOD,5101 W NORTH AVE ,CHICAGO,IL
2657949.0,BORDEAUX LOUNGE BY TURQUOISE,2147 W ROSCOE ST ,CHICAGO,IL
2637147.0,STONE FLOWER,1952 N DAMEN AVE ,CHICAGO,IL
2189351.0,MARKLAND-HUBBARD GOURMET PROVISIONS,1739 W 99TH ST ,CHICAGO,IL
2334077.0,ALTIRO,2116 W ROSCOE ST ,CHICAGO,IL
2293828.0,"ROSCOE-DAMEN, CORP.",2000 W ROSCOE ST ,CHICAGO,IL
2637146.0,STONE FLOWER,1952 N DAMEN AVE ,CHICAGO,IL
2658934.0,NIBBLES & NOSH/MIDNIGHT MAC & CHEESERIE/XO MARSHMA,6977-6981 N SHERIDAN RD ,CHICAGO,IL
2261769.0,CHENG CHOPSTICKS,3054 W ARMITAGE AVE ,CHICAGO,IL
26898.0,VEE-VEE'S AFRICAN RESTAURANT,6232 N BROADWAY ,CHICAGO,IL
2617087.0,ROBERT'S PIZZA AND DOUGH COMPANY,411 E ILLINOIS ST ,CHICAGO,IL
2534971.0,HOMESLYCE WHEEL HOUSE,934-938 W WEBSTER AVE ,CHICAGO,IL
2653260.0,BLACK EAGLE CLUB,1938 W IRVING PARK RD ,CHICAGO,IL
2294432.0,MARGIE'S CANDIES,1960 N WESTERN AVE ,CHICAGO,IL
2658172.0,BURGERS & MORE,5101 W NORTH AVE ,CHICAGO,IL
11832.0,POPEYES #2836,1949 W FULLERTON AVE ,CHICAGO,IL
2664061.0,REMEDY AT AON CENTER,200 E RANDOLPH ST ,CHICAGO,IL
2636802.0,OFFSHORE,900 E GRAND AVE ,CHICAGO,IL
2536551.0,SYDNEY MAROVITZ GOLF COURSE,3600 N RECREATION DR ,CHICAGO,IL
2636806.0,OFFSHORE,900 E GRAND AVE ,CHICAGO,IL
2617143.0,ROBERT'S PIZZA AND DOUGH COMPANY,411 E ILLINOIS ST ,CHICAGO,IL
2636803.0,OFFSHORE,900 E GRAND AVE ,CHICAGO,IL
2653012.0,SPICY MEXICAN GRILL,3925 N LINCOLN AVE ,CHICAGO,IL
2663532.0,CLUB NUTRICION LIA,3720 W 26TH ST ,CHICAGO,IL
2517230.0,NIBBLES & NOSH/MIDNIGHT MAC & CHEESERIE/XO MARSHME,6977-6981 N SHERIDAN RD ,CHICAGO,IL
1495623.0,TAQUERIA EL ARCO,3105 W 26TH ST ,CHICAGO,IL
8741.0,COCULA RESTAURANT,2801 W CERMAK RD ,CHICAGO,IL
2308160.0,BIG & LITTLE'S RESTAURANT,1034 W BELMONT AVE ,CHICAGO,IL
2501674.0,AWASH ETHIOPIAN RESTAURANT,6324-6326 N BROADWAY ,CHICAGO,IL
1869346.0,TURQUOISE CAFE,2147 W ROSCOE ST ,CHICAGO,IL
2431689.0,DIXIE,1952 N DAMEN AVE ,CHICAGO,IL
1096007.0,"LET'S GET POPPIN, INC.",11758 S WESTERN AVE ,CHICAGO,IL
7053.0,BEVERLY WOODS RESTAURANT,11532 S WESTERN AVE ,CHICAGO,IL
2617088.0,ROBERT'S PIZZA AND DOUGH COMPANY,411 E ILLINOIS ST ,CHICAGO,IL
2636805.0,OFFSHORE,900 E GRAND AVE ,CHICAGO,IL
2653011.0,SPICY MEXICAN GRILL,3925 N LINCOLN AVE ,CHICAGO,IL
2431688.0,DIXIE,1952 N DAMEN AVE ,CHICAGO,IL
2068929.0,CHINA  STAR,4716 N MILWAUKEE AVE ,CHICAGO,IL
2653259.0,BLACK EAGLE CLUB,1938 W IRVING PARK RD ,CHICAGO,IL
34135.0,CULLINAN'S STADIUM CLUB,11610 S WESTERN AVE ,CHICAGO,IL
2579251.0,"ROSAS TAMALES, INC.",4617-4619 S KEDZIE AVE ,CHICAGO,IL
2147526.0,ELLIE'S,10701 S HALE AVE ,CHICAGO,IL
2153439.0,LOS MANGOS NEVERIA Y FRUTERIA,3551 W 26TH ST ,CHICAGO,IL
6509.0,IL VICINATO INC,2435 S WESTERN AVE ,CHICAGO,IL
2309244.0,STUDIO MOVIE GRILL,210 W 87TH ST ,CHICAGO,IL
