license_no,yelp_id,inspection_name,inspection_address,yelp_name,yelp_address
1475925.0,UfmcQ0j_HRw0EYMMugJQAQ,CARMELITA'S TAQUERIA,1206 W LAWRENCE AVE ,Carmela's Taqueria,1206 W Lawrence Ave
1840862.0,VD1NSf4fnFedssyxl1an9A,LA CHOZA MEXICAN GRILL,7022 N CLARK ST ,La Choza Mexican Grill,7022 N Clark St
2404689.0,0,PAK-GARCIA HOSPITALITY CORP,2015 W ROSCOE ST ,,
2664725.0,cx4CJLlDqcjDJb1ec9pFPQ,TABAQ RESTAURANT,1245 N CLYBOURN AVE ,Tabaq Restaurant,1245 N Clybourn St
2458106.0,4BIQGbl3u1gzfTYGjuG32g,CORNERSTONE CAFE-LINCOLN PARK,2200-2202 N CLYBOURN AVE ,CornerStone Café,2200 N Clybourn Ave
2138319.0,BzNyUjDlRYXVmzOi_a1VnA,DON PEPE CARNES EN SU JUGO,3616 W 26TH ST ,Don Pepe Carnes en su Jugo,3616 W 26th St
1492724.0,Tt8HScLMTomfihDsdinccg,SUBWAY STORE  # 25458,1818 W MONTROSE AVE ,Subway,1818 W Montrose Ave
2289423.0,cKH4p-pGXtr7Cl091uxPXg,ASIAN CAFE,1053 W BELMONT AVE ,Jin Asian Cafe,1053 W Belmont Ave
1874185.0,PsPpiyliUWvCCwrCjOza0g,ANN SATHER RESTAURANT,909 W BELMONT AVE ,Ann Sather Restaurant,909 W Belmont Ave
8238.0,GfCIGAX0x9eGXgiY3sSCFw,LA FONTANELLA,2414 S OAKLEY AVE ,La Fontanella Restaurant,2414 S Oakley Ave
2202462.0,fisvNtPsL4wTOt88Hu_cpQ,SOL CAFE,1615 W HOWARD ST ,Sol Cafe,1615 W Howard St
22697.0,yORrTFkpT_JZdm2vtGDjxw,NEW WARSAW RESTAURANT,6250 W 63RD ST ,New Warsaw,6250 W 63rd St
2069984.0,6srySY_5dJw2CvG3hC9frA,Tapia's Pizzeria Inc,2349 W HOWARD ST ,Tapia's Pizzeria,2349 W Howard St
2522831.0,12r7JNZSuvO4bhpf0NQoZg,SUBWAY,5409 S HARLEM AVE ,Subway,5409 S Harlem Ave
1821381.0,VAregVfBNLYr9qz-cexxiw,CAFE ORCHID,1746 W ADDISON ST ,Café Orchid,1746 W Addison St
2428843.0,mFV0SmZijEQBUJh9jA9tHw,A LIL SOMTHING HOT,1455 W 103RD ST ,A Lil Something Hot,1455 W 103rd St
1574489.0,quuzoGbi-EHSGwMcXB1RbA,SUBWAY,2300 N MILWAUKEE AVE ,Subway,2300 N Milwaukee Ave
2113557.0,yaiXfc_kFJbKyHXbD62jjQ,BREE'S THAI RICE & NOODLE,5306 S CENTRAL AVE ,Bree Thai Restaurant,5306 S Central Ave
